end,start,title,longitude,latitude
2025-03-06T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,MŒBIUS | ÉCRITURES ET LITTÉRATURES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,MAGAZINE GASPÉSIE | CULTURE ET IDENTITÉ GASPÉSIENNE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,LIVRE D’ICI | MONDE DE L’ÉDITION,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,LURELU | LITTÉRATURE JEUNESSE,-73.56776,45.50500
2026-03-12T00:00:00.000-0400,2011-03-10T00:00:00.000-0500,HISTOIRE QUÉBEC | HISTOIRE LOCALE ET RÉGIONALE DU QUÉBEC,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,LES ÉCRITS | CRÉATION LITTÉRAIRE FRANCOPHONE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,LETTRES QUÉBÉCOISES | ACTUALITÉ LITTÉRAIRE,-73.56776,45.50500
2025-03-10T00:00:00.000-0400,2011-03-10T00:00:00.000-0500,INTERMÉDIALITÉS | THÉORIE DES ARTS, DES LETTRES ET DES TECHNIQUES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,JET D’ENCRE | CRÉATION LITTÉRAIRE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,JEU, REVUE DE THÉÂTRE | THÉÂTRE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,L’ACTION NATIONALE | IDÉES ET DÉBATS,-73.56776,45.50500
2025-03-09T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,INTER | ART ACTUEL,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,ÉTUDES LITTÉRAIRES | THÉORIES, ANALYSES ET DÉBATS,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,EXIT | POÉSIE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,ESSE | ARTS ET OPINIONS,-73.56776,45.50500
2025-03-06T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,ESTUAIRE | POÉSIE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,ESPACE | ART ACTUEL, PRATIQUES ET PERSPECTIVES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,CONTRE-JOUR | CAHIERS LITTÉRAIRES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,CIRCUIT | MUSIQUES CONTEMPORAINES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,CONTINUITÉ | PATRIMOINE DU QUÉBEC,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,CIEL VARIABLE | ART, PHOTO, MÉDIAS ET CULTURE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,CINÉMAS | ÉTUDES CINÉMATOGRAPHIQUES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,CAP-AUX-DIAMANTS | HISTOIRE DU QUÉBEC,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,BRÈVES LITTÉRAIRES | COURTS INÉDITS,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,ANNALES D’HISTOIRE DE L’ART CANADIEN | ART, ARCHITECTURE ET ARTS DÉCORATIFS,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,LE SABORD | ARTS VISUELS ET CRÉATION LITTÉRAIRE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,CINÉ-BULLES | CINÉMA,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-10T00:00:00.000-0500,ETC MEDIA | ARTS MÉDIATIQUES,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-16T00:00:00.000-0400,LIBERTÉ | ART ET POLITIQUE,-73.56776,45.50500
2025-03-01T00:00:00.000-0500,2011-03-18T00:00:00.000-0400,AUDIOTOPIE: LES RUES ONT DES OREILLES,-73.56521,45.51070
2025-03-01T00:00:00.000-0500,2011-03-18T00:00:00.000-0400,AUDIOTOPIE: AUDIOTRACE GPS,-73.72244,45.55845
2025-03-01T00:00:00.000-0500,2011-03-18T00:00:00.000-0400,AUDIOTOPIE: RÉSO ÉLECTRO I,-73.56165 ,45.50171
2025-03-14T00:00:00.000-0400,2011-03-18T00:00:00.000-0400,AUDIOTOPIE: RÉSO ÉLECTRO II,-73.55934,45.50626
